sessionID,series,onset_ms,adj,no adj,Transcription
s014,1,1420,0,1,the red 'a' (onset of red listed)
s014,2,1197,0,1,the 'p'
s014,3,1407,0,1,the 'L'
s014,4,1234,0,1,g'
s014,5,1026,0,1,the 'c'
s014,6,1080,0,1,the 'f'
s014,7,1284,0,1, 'z'
s014,8,874,0,1,the 'h'
s014,9,1149,0,1,the 'r'
s014,10,1302,0,1,the 'j'
s014,11,1234,0,1,I'
s014,12,1211,0,1,(coughs) the 'n' - very difficult to read
s015,1,972,0,1,j'
s015,2,751,0,1,u'
s015,3,810,0,1,I'
s015,4,890,0,1,e'
s015,5,1009,0,1,x'
s015,6,726,0,1,w'
s015,7,963,0,1,the 'f'
s015,8,917,0,1,c'
s015,9,bad trial,0,1,v' (can't tell if there is a 'the' before the 'v')
s015,10,965,0,1,o'
s015,11,947,0,1,n'
s015,12,909,0,1,k'
s016,1,803,0,1,w'
s016,2,799,0,1,o'
s016,3,587,0,1,b'/'p'
s016,4,820,0,1,h' (I think…)
s016,5,985,0,1,n' (hard to make out)
s016,6,769,0,1,e' 'p' or 't' (mumbles)
s016,7,1093,0,1,t'
s016,8,1327,0,1,y'
s016,9,822,0,1,I'
s016,10,976,0,1,h'?? (Really hard to make out)
s016,11,799,0,1,m' (??) difficult to get a reading
s016,12,851,0,1,L'
s017,1,1697,0,1,capital 'L' (onset of capital listed)
s017,2,1851,0,1,hmm 'p'
s017,3,1685,0,1,lower 'L'
s017,4,1037,0,1,u'
s017,5,1126,0,1,d'
s017,6,1055,0,1,x'
s017,7,1135,0,1,orange 'j'
s017,8,1739,0,1,um the 'h' (hard to tell) onset of h listed
s017,9,1800,0,1,aaah 'y'
s017,10,1010,0,1,k'
s017,11,1101,0,1,w'
s017,12,1257,0,1,o'
s018,1,bad trial,0,1,can't make out words
s018,2,bad trial,0,1,can't make out words
s018,3,873,0,1,big orange 'k'
s018,4,848,0,1,big blue 'A'
s018,5,adjective,0,1,small purple 'p'
s018,6,adjective,0,1,big green 'Y'
s018,7,adjective,0,1,big pink p
s018,8,adjective,0,1,small purple L
s018,9,adjective,0,1,little purple h
s018,10,adjective,0,1,big green n
s018,11,adjective,0,1,small green m/n
s018,12,adjective,0,1,big green z
s019,1,1051,0,1,the 'u' - hard to tell
s019,2,895,0,1,t'
s019,3,1299,0,1,the 'k'
s019,4,1064,0,1,ahh 'e'
s019,5,1443,0,1,the 'o'
s019,6,1740,0,1,x' again
s019,7,1262,0,1,capital P (onset of capital)
s019,8,2141,0,1,the 'f'
s019,9,1818,0,1,the 'q'
s019,10,1634,0,1,the 'n'
s019,11,1277,0,1,the 'h'
s019,12,1765,0,1,the 'y'
s020,1,2765,0,1,pink 'p'..eh sorry blue 'p' (onset of blue listed)
s020,2,1029,0,1,green 'g'
s020,3,1098,0,1,blue 'e'
s020,4,751,0,1,blue't'
s020,5,809,0,1,purple 'I'
s020,6,996,0,1,green 'x'
s020,7,703,0,1,pink 'v'
s020,8,1292,0,1,the orange 'j'
s020,9,1090,0,1,pinkish 'a'
s020,10,1044,0,1,green 'n' (hard to read time)
s020,11,1020,0,1,purple 'c' (hard to read time)
s020,12,1426,0,1,blue 'I'
s021,1,591,0,1,big 'w'
s021,2,1229,0,1,m'
s021,3,695,0,1,o'
s021,4,969,0,1,v' (yawns when saying it though)
