sessionID,series,onset_ms,adj,Transcription
s014,1,1420,0,the red 'a' (onset of red listed)
s014,2,1197,0,the 'p'
s014,3,1407,0,the 'L'
s014,4,1234,0,g'
s014,5,1026,0,the 'c'
s014,6,1080,0,the 'f'
s014,7,1284,0, 'z'
s014,8,874,0,the 'h'
s014,9,1149,0,the 'r'
s014,10,1302,0,the 'j'
s014,11,1234,0,I'
s014,12,1211,0,(coughs) the 'n' - very difficult to read
s015,1,972,0,j'
s015,2,751,0,u'
s015,3,810,0,I'
s015,4,890,0,e'
s015,5,1009,0,x'
s015,6,726,0,w'
s015,7,963,0,the 'f'
s015,8,917,0,c'
s015,9,,0,v' (can't tell if there is a 'the' before the 'v')
s015,10,965,0,o'
s015,11,947,0,n'
s015,12,909,0,k'
s016,1,803,0,w'
s016,2,799,0,o'
s016,3,587,0,b'/'p'
s016,4,820,0,h' (I thinkﾅ)
s016,5,985,0,n' (hard to make out)
s016,6,769,0,e' 'p' or 't' (mumbles)
s016,7,1093,0,t'
s016,8,1327,0,y'
s016,9,822,0,I'
s016,10,976,0,h'?? (Really hard to make out)
s016,11,799,0,m' (??) difficult to get a reading
s016,12,851,0,L'
s017,1,1697,0,capital 'L' (onset of capital listed)
s017,2,1851,0,hmm 'p'
s017,3,1685,0,lower 'L'
s017,4,1037,0,u'
s017,5,1126,0,d'
s017,6,1055,0,x'
s017,7,1135,0,orange 'j'
s017,8,1739,0,um the 'h' (hard to tell) onset of h listed
s017,9,1800,0,aaah 'y'
s017,10,1010,0,k'
s017,11,1101,0,w'
s017,12,1257,0,o'
s018,1,,0,can't make out words
s018,2,,0,can't make out words
s018,3,873,0,big orange 'k'
s018,4,848,0,big blue 'A'
s018,5,,1,small purple 'p'
s018,6,,1,big green 'Y'
s018,7,,1,big pink p
s018,8,,1,small purple L
s018,9,,1,little purple h
s018,10,,1,big green n
s018,11,,1,small green m/n
s018,12,,1,big green z
s019,1,1051,0,the 'u' - hard to tell
s019,2,895,0,t'
s019,3,1299,0,the 'k'
s019,4,1064,0,ahh 'e'
s019,5,1443,0,the 'o'
s019,6,1740,0,x' again
s019,7,1262,0,capital P (onset of capital)
s019,8,2141,0,the 'f'
s019,9,1818,0,the 'q'
s019,10,1634,0,the 'n'
s019,11,1277,0,the 'h'
s019,12,1765,0,the 'y'
s020,1,2765,0,pink 'p'..eh sorry blue 'p' (onset of blue listed)
